id,report_date,occured_date,occured_time,area,crime,victim_age,victim_sex,victim_descent,premise,weapon,status,lat,lon
100100730,2010-03-23,2010-03-20,12:15,Central,THROWING OBJECT AT MOVING VEHICLE,26,M,Black,"VEHICLE, PASSENGER/TRUCK",,Invest Cont,34.0627,-118.2463
100100731,2010-03-21,2010-03-21,03:20,Central,BURGLARY FROM VEHICLE,48,M,Other,STREET,,Adult Arrest,34.0635,-118.2458
100100733,2010-03-21,2010-03-21,10:00,Northeast,OTHER MISCELLANEOUS CRIME,0,M,White,SIDEWALK,,Invest Cont,34.0917,-118.2741
100100734,2010-03-21,2010-03-21,13:15,Central,BATTERY - SIMPLE ASSAULT,65,M,White,SINGLE FAMILY DWELLING,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,34.0452,-118.2534
100100736,2010-03-22,2010-03-22,13:30,Central,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),23,M,Black,DEPARTMENT STORE,,Invest Cont,34.048,-118.2577
100100738,2010-03-22,2010-03-19,17:30,Central,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,5,M,White,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Arrest,34.0317,-118.2641
100100740,2010-03-25,2010-03-22,19:15,Central,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",49,M,White,STREET,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,34.0516,-118.2526
100100741,2010-03-24,2010-03-22,20:30,Central,THEFT PLAIN - PETTY ($950 & UNDER),23,M,Black,OTHER BUSINESS,,Adult Arrest,34.048,-118.2577
100100743,2010-03-25,2010-03-23,01:25,Central,BURGLARY,57,M,Other,OTHER BUSINESS,,Invest Cont,34.032,-118.2667
100100744,2010-03-23,2010-03-23,02:30,Central,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",62,M,White,SINGLE FAMILY DWELLING,,Invest Cont,34.0717,-118.2493
100100751,2010-03-24,2010-03-24,20:15,Central,BATTERY - SIMPLE ASSAULT,58,M,Hispanic/Latin/Mexican,SIDEWALK,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,34.0446,-118.245
100100753,2010-03-25,2010-03-25,02:40,Central,OTHER MISCELLANEOUS CRIME,32,F,Hispanic/Latin/Mexican,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,Adult Arrest,34.0475,-118.2657
100100756,2010-03-27,2010-03-27,05:30,Central,INTIMATE PARTNER - SIMPLE ASSAULT,32,F,Other,HOTEL,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Other,34.0454,-118.2657
100100757,2010-03-27,2010-03-27,11:40,Central,BATTERY - SIMPLE ASSAULT,56,M,Other,JEWELRY STORE,MACE/PEPPER SPRAY,Invest Cont,34.0474,-118.2531
100100758,2010-03-27,2010-03-26,15:00,Central,OTHER MISCELLANEOUS CRIME,46,M,Black,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,Invest Cont,34.0496,-118.2458
100100759,2010-03-28,2010-03-28,00:55,Central,SHOTS FIRED AT INHABITED DWELLING,18,F,Black,WAREHOUSE,HAND GUN,Invest Cont,34.0449,-118.2415
100100760,2010-03-28,2010-03-28,01:00,Central,OTHER MISCELLANEOUS CRIME,45,M,White,RESTAURANT/FAST FOOD,,Invest Cont,34.045,-118.264
100100764,2010-04-01,2010-03-29,23:20,Central,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0,M,Other,OTHER BUSINESS,,Invest Cont,34.0373,-118.2503
100100765,2010-03-31,2010-03-31,15:15,Central,CRIMINAL THREATS - NO WEAPON DISPLAYED,59,M,Hispanic/Latin/Mexican,SINGLE FAMILY DWELLING,VERBAL THREAT,Adult Arrest,34.0635,-118.2426
100100773,2010-04-03,2010-04-03,00:01,Central,VANDALISM - MISDEAMEANOR ($399 OR UNDER),31,F,Other,"VEHICLE, PASSENGER/TRUCK",,Invest Cont,34.0644,-118.2387
100100777,2010-04-06,2010-04-05,19:40,Central,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",24,M,Hispanic/Latin/Mexican,OTHER PREMISE,STICK,Adult Arrest,34.0442,-118.2439
100100781,2010-04-05,2010-04-02,19:00,Central,VANDALISM - MISDEAMEANOR ($399 OR UNDER),46,M,Black,PARKING LOT,,Invest Cont,34.0537,-118.2455
100100786,2010-04-08,2010-04-08,02:20,Central,VEHICLE - STOLEN,31,M,White,STREET,,Invest Cont,34.0481,-118.2633
100100788,2010-04-08,2010-04-08,09:20,Central,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",41,M,Hispanic/Latin/Mexican,STREET,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Arrest,34.046,-118.2509
100100792,2010-04-10,2010-04-10,17:10,Central,ROBBERY,61,M,Other,OTHER STORE,HAND GUN,Invest Cont,34.0496,-118.2458
100100797,2010-04-14,2010-04-11,02:00,Central,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",30,M,Hispanic/Latin/Mexican,SIDEWALK,UNKNOWN WEAPON/OTHER WEAPON,Invest Cont,34.0524,-118.2467
100100799,2010-04-12,2010-04-12,17:00,Central,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",23,F,Hispanic/Latin/Mexican,"VEHICLE, PASSENGER/TRUCK",,Invest Cont,34.0672,-118.2385
100100801,2010-04-14,2010-04-13,17:30,Central,CRIMINAL THREATS - NO WEAPON DISPLAYED,27,M,White,SPECIALTY SCHOOL/OTHER,VERBAL THREAT,Invest Cont,34.0459,-118.2351
100100802,2010-04-14,2010-04-14,15:15,Central,OTHER MISCELLANEOUS CRIME,0,M,White,STREET,,Adult Arrest,34.0446,-118.249
100100803,2010-04-14,2010-04-14,09:15,Central,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",41,M,White,OTHER BUSINESS,,Invest Cont,34.0494,-118.2599
100100804,2010-04-15,2010-04-15,03:35,Central,BURGLARY FROM VEHICLE,32,M,White,STREET,,Invest Cont,34.0428,-118.2461
100100807,2010-04-15,2010-04-15,17:40,Central,THEFT PLAIN - PETTY ($950 & UNDER),54,M,Hispanic/Latin/Mexican,SIDEWALK,,Adult Arrest,34.046,-118.2509
100100809,2010-04-16,2010-04-15,21:20,Central,KIDNAPPING - GRAND ATTEMPT,18,F,Hispanic/Latin/Mexican,STREET,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,34.0673,-118.2354
100100811,2010-04-16,2010-04-16,05:10,Central,CRIMINAL HOMICIDE,41,M,Black,SIDEWALK,UNKNOWN FIREARM,Adult Arrest,34.0461,-118.2476
100100812,2010-04-16,2010-04-16,08:00,Central,THEFT PLAIN - ATTEMPT,0,M,Other,STREET,,Invest Cont,34.0467,-118.2556
100100813,2010-04-16,2010-04-16,18:00,Central,ATTEMPTED ROBBERY,18,M,Other,STREET,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,34.0649,-118.2399
100100814,2010-04-16,2010-04-16,18:15,Central,ATTEMPTED ROBBERY,56,F,Other,SIDEWALK,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,34.0619,-118.2369
100100816,2010-04-16,2010-04-16,18:30,Central,ROBBERY,39,M,Hispanic/Latin/Mexican,SIDEWALK,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Other,34.0435,-118.2471
100100822,2010-04-16,2010-04-15,14:00,Central,INTIMATE PARTNER - AGGRAVATED ASSAULT,36,F,Black,STREET,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,34.0364,-118.2406
100100826,2010-04-17,2010-04-17,13:00,Central,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0,M,Other,STREET,,Invest Cont,34.0522,-118.2434
100100827,2010-04-17,2010-04-17,18:45,Central,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",41,M,Black,OTHER PREMISE,OTHER KNIFE,Adult Other,34.0442,-118.2439
100100828,2010-04-17,2010-04-17,19:00,Central,CRIMINAL THREATS - NO WEAPON DISPLAYED,20,M,Other,SIDEWALK,VERBAL THREAT,Invest Cont,34.0582,-118.2387
100100830,2010-04-17,2010-04-17,21:00,Central,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",42,F,Hispanic/Latin/Mexican,SIDEWALK,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,34.0394,-118.2405
100100832,2010-04-18,2010-04-18,03:30,Central,VANDALISM - MISDEAMEANOR ($399 OR UNDER),9,M,Other,SIDEWALK,,Invest Cont,34.0488,-118.2518
100100834,2010-04-17,2010-04-17,19:00,Central,CRIMINAL THREATS - NO WEAPON DISPLAYED,22,M,Hispanic/Latin/Mexican,SIDEWALK,VERBAL THREAT,Invest Cont,34.0582,-118.2387
100100835,2010-04-17,2010-04-17,21:00,Central,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",48,M,Hispanic/Latin/Mexican,SIDEWALK,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,34.0394,-118.2405
100100837,2010-04-21,2010-04-20,18:00,Central,INTIMATE PARTNER - SIMPLE ASSAULT,34,M,Hispanic/Latin/Mexican,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Arrest,34.0449,-118.2458
100100838,2010-04-21,2010-04-20,17:50,Central,INTIMATE PARTNER - SIMPLE ASSAULT,38,F,Hispanic/Latin/Mexican,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Arrest,34.0449,-118.2458
100100839,2010-04-21,2010-04-21,12:30,Central,INTIMATE PARTNER - SIMPLE ASSAULT,31,M,White,STREET,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,34.0346,-118.2323
100100842,2010-04-24,2010-04-24,01:00,Central,INTIMATE PARTNER - SIMPLE ASSAULT,26,M,White,PARKING LOT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,34.0494,-118.2581
100100844,2010-04-24,2010-04-23,01:30,Central,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",22,M,Hispanic/Latin/Mexican,BAR/COCKTAIL/NIGHTCLUB,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,34.0656,-118.2374
100100848,2010-04-25,2010-04-24,20:15,Central,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",28,F,Black,OTHER PREMISE,OTHER KNIFE,Invest Cont,34.0423,-118.2452
100100849,2010-04-24,2010-04-24,20:25,Central,INTIMATE PARTNER - SIMPLE ASSAULT,29,F,White,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,34.046,-118.2509
100100850,2010-04-24,2010-04-24,20:15,Central,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",33,M,Other,OTHER PREMISE,OTHER KNIFE,Invest Cont,34.0423,-118.2452
100100853,2010-04-25,2010-04-25,14:15,Central,"THEFT, PERSON",60,M,Hispanic/Latin/Mexican,STREET,,Invest Cont,34.0537,-118.2455
100100854,2010-04-26,2010-04-25,19:50,Central,SHOPLIFTING - PETTY THEFT ($950 & UNDER),23,M,Hispanic/Latin/Mexican,DEPARTMENT STORE,,Adult Arrest,34.048,-118.2577
100100855,2010-04-26,2010-04-26,01:30,Central,INTIMATE PARTNER - SIMPLE ASSAULT,23,F,Other,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,34.046,-118.2509
100100856,2010-04-27,2010-04-26,08:00,Central,INTIMATE PARTNER - SIMPLE ASSAULT,28,M,Black,STREET,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Arrest,34.032,-118.2657
100101553,2010-10-26,2010-10-26,16:30,Central,OTHER MISCELLANEOUS CRIME,0,M,White,STREET,,Invest Cont,34.0446,-118.249
100100857,2010-04-28,2010-04-28,01:45,Central,VANDALISM - MISDEAMEANOR ($399 OR UNDER),23,M,Hispanic/Latin/Mexican,PARKING LOT,,Invest Cont,34.0503,-118.247
100100859,2010-04-30,2010-04-29,23:15,Central,INTIMATE PARTNER - SIMPLE ASSAULT,37,F,Black,SINGLE FAMILY DWELLING,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,34.042,-118.2468
100100861,2010-04-30,2010-04-29,19:45,Hollenbeck,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0,M,Hispanic/Latin/Mexican,OTHER BUSINESS,,Invest Cont,34.0486,-118.2192
100100862,2010-04-30,2010-04-30,20:05,Central,VANDALISM - MISDEAMEANOR ($399 OR UNDER),9,F,Hispanic/Latin/Mexican,SIDEWALK,,Invest Cont,34.0411,-118.2545
100100864,2010-05-01,2010-05-01,16:50,Central,BATTERY - SIMPLE ASSAULT,39,M,White,SIDEWALK,UNKNOWN WEAPON/OTHER WEAPON,Invest Cont,34.0494,-118.2599
100100867,2010-05-02,2010-05-02,17:05,Central,INTIMATE PARTNER - SIMPLE ASSAULT,47,F,Hispanic/Latin/Mexican,OTHER BUSINESS,UNKNOWN WEAPON/OTHER WEAPON,Adult Other,34.0481,-118.2507
100100868,2010-05-03,2010-05-03,03:20,Central,TRESPASSING,54,M,Black,CHURCH/CHAPEL (CHANGED 03-03 FROM CHURCH/TEMPLE),,Invest Cont,34.051,-118.2445
100100869,2010-05-03,2010-05-03,02:20,Central,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",20,M,Hispanic/Latin/Mexican,PARKING LOT,SWITCH BLADE,Adult Arrest,34.0423,-118.2595
